GEOID,NAME,variable,estimate,moe,totpop,totnhisp_wh,totnhisp_bk,totnhisp_as,medhhinc,medhhinc_wh,medhhinc_bk,tenure,ten_ownocc,ten_renter,w_ten_renter,b_tenure,b_ten_ownocc,b_ten_renter,moe_totpop,moe_totnhisp_wh,moe_totnhisp_bk,moe_B03002_006,moe_medhhinc,moe_medhhinc_wh,moe_medhhinc_bk,moe_tenure,moe_ten_ownocc,moe_ten_renter,moe_w_ten_renter,moe_b_tenure,moe_b_ten_ownocc,moe_b_ten_renter,pct_black,moe_pct_black,pct_white_renter,moe_white_renter,pct_bnh_renter,pct_bnh_renter2,pct_renter,moe_bnh_renter,pct_non_white,pct_asian,DRR1516,DRR1516C,DRR2122,DRR2122C
"421010214001","Block Group 1, Census Tract 214, Philadelphia County, Pennsylvania",B03002_001,1009,356,1009,970,15,0,144231,,,484,145,339,339,0,0,0,356,355,24,11,52398,,,169,62,174,174,11,11,11,1.49,2.32,100,72.59,0,0,70.04,3.24,3.87,0,"0.334273",0.0 - 0.5,"-0.789129",Below Area Average
"421010070002","Block Group 2, Census Tract 70, Philadelphia County, Pennsylvania",B03002_001,335,213,335,0,335,0,,,,115,58,57,0,115,58,57,213,11,213,11,,,,67,45,56,11,67,45,56,100,89.92,0,19.3,100,49.57,49.57,138.94,100,0,"-2.055027",Below Area Average,"-3.008529",Below Area Average
"421010330002","Block Group 2, Census Tract 330, Philadelphia County, Pennsylvania",B03002_001,1038,649,1038,101,513,112,34014,,,287,255,32,32,76,76,0,649,144,588,175,19700,,,147,156,53,53,88,88,11,49.42,47.48,100,234.23,0,0,11.15,34.38,90.27,10.79,"-1.231027",Below Area Average,"-2.118029",Below Area Average
"421010118004","Block Group 4, Census Tract 118, Philadelphia County, Pennsylvania",B03002_001,465,314,465,0,465,0,,,,189,189,0,0,189,189,0,314,11,314,11,,,,101,101,11,11,101,101,11,100,95.5,,,,0,0,,100,0,"-0.122727",Below Area Average,"-0.681929",Below Area Average
"421010055004","Block Group 4, Census Tract 55, Philadelphia County, Pennsylvania",B03002_001,2945,753,2945,116,2614,39,57967,,,1339,501,838,21,1178,425,753,753,93,784,66,38381,,,253,168,244,34,264,159,250,88.76,13.92,2.51,3.99,89.86,56.24,62.58,14.33,96.06,1.32,"-0.957827",Below Area Average,"-1.942829",Below Area Average
"421010391004","Block Group 4, Census Tract 391, Philadelphia County, Pennsylvania",B03002_001,1044,477,1044,0,1044,0,31959,,,315,82,233,0,315,82,233,477,11,477,11,7635,,,120,59,113,11,120,59,113,100,64.61,0,4.72,100,73.97,73.97,68.59,100,0,"-2.099627",Below Area Average,"-2.821429",Below Area Average
"421010201024","Block Group 4, Census Tract 201.02, Philadelphia County, Pennsylvania",B03002_001,1102,382,1102,19,993,0,36650,,,571,379,192,0,571,379,192,382,28,384,11,17547,,,185,156,146,11,185,156,146,90.11,15.45,0,5.73,100,33.63,33.63,107.54,98.28,0,"-2.064327",Below Area Average,"-2.460129",Below Area Average
"421010352001","Block Group 1, Census Tract 352, Philadelphia County, Pennsylvania",B03002_001,2301,511,2301,1908,163,191,,,,907,708,199,151,37,37,0,511,503,104,180,,,,344,324,114,93,36,36,11,7.08,4.24,75.88,17.16,0,0,21.94,5.53,17.08,8.3,"-0.066327",Below Area Average,"-1.231729",Below Area Average
"421010191001","Block Group 1, Census Tract 191, Philadelphia County, Pennsylvania",B03002_001,1676,573,1676,147,55,0,27389,,,632,535,97,97,33,33,0,573,116,93,11,23599,,,191,192,96,96,56,56,11,3.28,5.43,100,139.96,0,0,15.35,11.34,91.23,0,"0.994573",0.5 - 1.0,"1.574371",1.5 - 2.0
"421010175006","Block Group 6, Census Tract 175, Philadelphia County, Pennsylvania",B03002_001,1292,579,1292,100,294,0,9597,,,485,237,248,100,145,145,0,579,127,286,11,1335,,,215,188,171,127,145,145,11,22.76,19.65,40.32,43,0,0,51.13,4.44,92.26,0,"-1.785527",Below Area Average,"-1.987529",Below Area Average
"421010084003","Block Group 3, Census Tract 84, Philadelphia County, Pennsylvania",B03002_001,322,141,322,4,310,0,51250,,,144,66,78,0,144,66,78,141,3,139,11,20474,,,59,45,48,11,59,45,48,96.27,9.29,0,14.1,100,54.17,54.17,87.03,98.76,0,"-1.671027",Below Area Average,"-1.029829",Below Area Average
"421010332001","Block Group 1, Census Tract 332, Philadelphia County, Pennsylvania",B03002_001,1654,442,1654,696,45,625,75969,,,619,520,99,15,11,11,0,442,194,47,319,23988,,,203,191,66,18,11,11,11,2.72,2.75,15.15,15.12,0,0,15.99,11.11,57.92,37.79,"-0.015627",Below Area Average,"-0.699929",Below Area Average
"421010195022","Block Group 2, Census Tract 195.02, Philadelphia County, Pennsylvania",B03002_001,2773,933,2773,302,59,26,32206,,,634,437,197,9,79,45,34,933,294,73,44,9716,,,170,174,92,15,80,69,42,2.13,2.53,4.57,7.31,17.26,5.36,31.07,19.74,89.11,0.94,"-1.766427",Below Area Average,"-1.768929",Below Area Average
"421010302003","Block Group 3, Census Tract 302, Philadelphia County, Pennsylvania",B03002_001,1866,718,1866,508,311,2,73803,,,514,429,85,26,198,139,59,718,369,300,5,17112,,,175,176,65,40,155,144,68,16.67,14.74,30.59,40.83,69.41,11.48,16.54,59.85,72.78,0.11,"1.335473",1.0 - 1.5,"1.478071",1.0 - 1.5
"421010008061","Block Group 1, Census Tract 8.06, Philadelphia County, Pennsylvania",B03002_001,1131,250,1131,984,15,11,116146,,,784,414,370,296,15,0,15,250,248,24,18,87315,,,161,122,129,118,24,11,24,1.33,2.1,80,15.46,4.05,1.91,47.19,6.33,13,0.97,"1.783473",1.5 - 2.0,"-0.512829",Below Area Average
"421010367003","Block Group 3, Census Tract 367, Philadelphia County, Pennsylvania",B03002_001,1169,312,1169,949,29,136,121786,,,542,235,307,292,13,13,0,312,326,47,153,50016,,,141,77,133,130,21,21,11,2.48,3.97,95.11,9.76,0,0,56.64,3.58,18.82,11.63,"0.863173",0.5 - 1.0,"0.895571",0.5 - 1.0
"421010096004","Block Group 4, Census Tract 96, Philadelphia County, Pennsylvania",B03002_001,563,310,563,0,494,0,32875,,,216,132,84,0,191,107,84,310,11,289,11,20891,,,97,75,78,11,87,63,78,87.74,17.34,0,13.1,100,38.89,38.89,131.32,100,0,"-2.033227",Below Area Average,"-2.861829",Below Area Average
"421010330003","Block Group 3, Census Tract 330, Philadelphia County, Pennsylvania",B03002_001,1736,1102,1736,1325,135,178,56633,,,502,180,322,322,0,0,0,1102,1024,209,267,48716,,,216,111,211,211,11,11,11,7.78,10.98,100,92.67,0,0,64.14,3.42,23.68,10.25,"-0.816527",Below Area Average,"-1.306029",Below Area Average
"421019892004","Block Group 4, Census Tract 9892, Philadelphia County, Pennsylvania",B03002_001,0,11,0,0,0,0,,,,0,0,0,0,0,0,0,11,11,11,11,,,,11,11,11,11,11,11,11,,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010244003","Block Group 3, Census Tract 244, Philadelphia County, Pennsylvania",B03002_001,1217,647,1217,22,1195,0,66679,,,377,237,140,0,367,227,140,647,38,647,11,53173,,,161,118,114,11,161,117,114,98.19,10.06,0,7.86,100,37.14,37.14,115.16,98.19,0,"-1.160127",Below Area Average,"-0.511129",Below Area Average
"421010135001","Block Group 1, Census Tract 135, Philadelphia County, Pennsylvania",B03002_001,815,382,815,798,17,0,167656,,,267,166,101,101,1,1,0,382,381,25,11,86483,,,102,87,66,66,2,2,11,2.09,2.91,100,92.41,0,0,37.83,10.89,2.09,0,"2.866573",2.5 - 3.0,"3.098071",3.0 or Above
"421010141002","Block Group 2, Census Tract 141, Philadelphia County, Pennsylvania",B03002_001,986,359,986,94,827,30,18286,,,492,162,330,9,403,96,307,359,75,350,57,14946,,,200,61,195,13,193,44,196,83.87,18.1,2.73,3.59,93.03,62.4,67.07,22.49,90.47,3.04,"0.488373",0.0 - 0.5,"0.651671",0.5 - 1.0
"421010276001","Block Group 1, Census Tract 276, Philadelphia County, Pennsylvania",B03002_001,1324,681,1324,10,906,0,38510,,,592,262,330,0,404,206,198,681,17,537,11,11981,,,264,163,225,11,176,147,116,68.43,20.16,0,3.33,60,33.45,55.74,53.94,99.24,0,"-0.773727",Below Area Average,"-1.088329",Below Area Average
"421010366002","Block Group 2, Census Tract 366, Philadelphia County, Pennsylvania",B03002_001,429,270,429,334,95,0,132891,,,285,6,279,279,0,0,0,270,229,150,11,126219,,,206,10,211,211,11,11,11,22.14,32.07,100,106.95,0,0,97.89,3.94,22.14,0,NULL,Insufficient Data,NULL,Insufficient Data
"421010259004","Block Group 4, Census Tract 259, Philadelphia County, Pennsylvania",B03002_001,710,301,710,0,710,0,51591,,,306,291,15,0,306,291,15,301,11,301,11,29494,,,130,129,28,11,130,129,28,100,59.95,0,73.33,100,4.9,4.9,263.99,100,0,"0.908773",0.5 - 1.0,"0.841571",0.5 - 1.0
"421010071025","Block Group 5, Census Tract 71.02, Philadelphia County, Pennsylvania",B03002_001,786,333,786,14,726,0,31656,,,249,165,84,0,249,165,84,333,23,310,11,12609,,,85,67,65,11,85,67,65,92.37,4.92,0,13.1,100,33.73,33.73,109.43,98.22,0,"-1.672627",Below Area Average,"-1.061929",Below Area Average
"421010008062","Block Group 2, Census Tract 8.06, Philadelphia County, Pennsylvania",B03002_001,1096,349,1096,779,24,264,177429,,,833,31,802,529,24,0,24,349,240,38,248,86261,,,285,25,284,136,38,11,38,2.19,3.4,65.96,28.86,2.99,2.88,96.28,4.62,28.92,24.09,NULL,Insufficient Data,NULL,Insufficient Data
"421010010012","Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania",B03002_001,0,11,0,0,0,0,,,,0,0,0,0,0,0,0,11,11,11,11,,,,11,11,11,11,11,11,11,,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010379003","Block Group 3, Census Tract 379, Philadelphia County, Pennsylvania",B03002_001,838,296,838,742,2,0,38967,,,528,307,221,221,0,0,0,296,295,4,11,8869,,,180,158,153,153,11,11,11,0.24,0.47,100,97.91,0,0,41.86,4.98,11.46,0,"-0.994927",Below Area Average,"-2.051429",Below Area Average
"421010373001","Block Group 1, Census Tract 373, Philadelphia County, Pennsylvania",B03002_001,2029,556,2029,1899,0,89,73402,,,904,767,137,137,0,0,0,556,550,11,151,19995,,,216,203,103,103,11,11,11,0,0.54,100,106.32,0,0,15.15,8.03,6.41,4.39,"2.052173",2.0 - 2.5,"0.810271",0.5 - 1.0
"421010177022","Block Group 2, Census Tract 177.02, Philadelphia County, Pennsylvania",B03002_001,807,445,807,79,117,0,,,,261,84,177,67,51,0,51,445,65,188,11,,,,104,63,90,54,64,11,64,14.5,21.88,37.85,23.67,28.81,19.54,67.82,33.06,90.21,0,"-1.889427",Below Area Average,"-2.990629",Below Area Average
"421010252007","Block Group 7, Census Tract 252, Philadelphia County, Pennsylvania",B03002_001,1109,479,1109,0,886,0,16923,,,617,123,494,0,566,123,443,479,11,479,11,5373,,,418,72,410,11,414,72,403,79.89,25.98,0,2.23,89.68,71.8,80.06,33.4,100,0,"-1.363227",Below Area Average,"-1.284729",Below Area Average
"421010199002","Block Group 2, Census Tract 199, Philadelphia County, Pennsylvania",B03002_001,2086,1024,2086,0,472,0,,,,653,159,494,0,101,49,52,1024,11,473,11,,,,341,111,363,11,94,43,83,22.63,19.77,0,2.23,10.53,7.96,75.65,14.92,100,0,"-1.477327",Below Area Average,"-1.609129",Below Area Average
"421010007013","Block Group 3, Census Tract 7.01, Philadelphia County, Pennsylvania",B03002_001,970,300,970,731,4,168,57961,,,745,198,547,438,4,0,4,300,284,6,108,50119,,,252,87,254,250,6,11,6,0.41,0.61,80.07,26.58,0.73,0.54,73.42,1.04,24.64,17.32,"-0.006927",Below Area Average,"-2.302229",Below Area Average
"421010082007","Block Group 7, Census Tract 82, Philadelphia County, Pennsylvania",B03002_001,966,495,966,19,927,0,26684,,,539,520,19,19,500,500,0,495,31,496,11,22978,,,206,210,31,31,212,212,11,95.96,14.78,100,230.74,0,0,3.53,57.89,98.03,0,"-1.009627",Below Area Average,"-1.560229",Below Area Average
"421010271001","Block Group 1, Census Tract 271, Philadelphia County, Pennsylvania",B03002_001,694,280,694,148,423,33,72107,,,317,180,137,27,192,82,110,280,95,258,48,9250,,,120,69,101,21,107,45,99,60.95,27.88,19.71,4.88,80.29,34.7,43.22,41.45,78.67,4.76,"-0.178627",Below Area Average,"-1.406129",Below Area Average
"421010213003","Block Group 3, Census Tract 213, Philadelphia County, Pennsylvania",B03002_001,854,274,854,723,90,23,128646,,,355,233,122,91,21,0,21,274,238,146,35,77792,,,108,99,75,65,35,11,35,10.54,16.76,74.59,27.13,17.21,5.92,34.37,26.67,15.34,2.69,"0.820073",0.5 - 1.0,"-0.406929",Below Area Average
"421019800032","Block Group 2, Census Tract 9800.03, Philadelphia County, Pennsylvania",B03002_001,0,11,0,0,0,0,,,,0,0,0,0,0,0,0,11,11,11,11,,,,11,11,11,11,11,11,11,,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010082005","Block Group 5, Census Tract 82, Philadelphia County, Pennsylvania",B03002_001,365,246,365,0,365,0,25972,,,254,71,183,0,254,71,183,246,11,246,11,25029,,,154,43,162,11,154,43,162,100,95.31,0,6.01,100,72.05,72.05,125.19,100,0,"-2.012027",Below Area Average,"-2.797429",Below Area Average
"421010122041","Block Group 1, Census Tract 122.04, Philadelphia County, Pennsylvania",B03002_001,0,11,0,0,0,0,,,,0,0,0,0,0,0,0,11,11,11,11,,,,11,11,11,11,11,11,11,,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
