geoid,CRS1112,CRS1213,CRS1314,CRS1415,CRS1516,CRS1617,CRS1718,CRS1819,CRS1920,CRS2021,CRS2122,MSP1112,MSP1213,MSP1314,MSP1415,MSP1516,MSP1617,MSP1718,MSP1819,MSP1920,MSP2021,MSP2122,DRR1112,DRR1213,DRR1314,DRR1415,DRR1516,DRR1617,DRR1718,DRR1819,DRR1920,DRR2021,DRR2122,MSP1112C,MSP1213C,MSP1314C,MSP1415C,MSP1516C,MSP1617C,MSP1718C,MSP1819C,MSP1920C,MSP2021C,MSP2122C,DRR1112C,DRR1213C,DRR1314C,DRR1415C,DRR1516C,DRR1617C,DRR1718C,DRR1819C,DRR1920C,DRR2021C,DRR2122C,PdMSP1121,PdMSP1822,dDRR1118,dDRR1121,dDRR1822,PdMSP1121C,dDRR1121C,dDRR1118WPPNC,dDRR1121WPPNC
421010001011,0,0,0,0,0,1,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
421010001012,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
421010001013,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
421010001014,16,27,32,43,42,39,36,24,27,33,24,385000,300000,302500,325000,332500,500000,495000,412500,319600,375000,780000,1.983160,0.976161,0.923475,1.053284,0.995173,2.393990,1.776968,0.612037,-0.621531,-0.779241,2.574871,"$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$400,000 or Above","$400,000 or Above","$400,000 or Above","$250,000 - $400,000","$250,000 - $400,000","$400,000 or Above",1.5 - 2.0,0.5 - 1.0,0.5 - 1.0,1.0 - 1.5,0.5 - 1.0,2.0 - 2.5,1.5 - 2.0,0.5 - 1.0,Below Area Average,Below Area Average,2.5 - 3.0,-2.5974025974025974,89.0909090909091,-0.206192,-2.762401,1.962834,Declined,Less than -1.5,Not at Risk,Not at Risk
421010001015,58,46,51,68,86,70,59,62,48,70,55,323000,322500,340000,361000,354500,360000,347000,322750,336250,341125,352500,1.311360,1.217561,1.318475,1.432484,1.224873,0.971990,0.300068,-0.268163,-0.462331,-1.097741,-1.166129,"$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000",1.0 - 1.5,1.0 - 1.5,1.0 - 1.5,1.0 - 1.5,1.0 - 1.5,0.5 - 1.0,0.0 - 0.5,Below Area Average,Below Area Average,Below Area Average,Below Area Average,5.6114551083591335,9.217660728117739,-1.011292,-2.409101,-0.897966,Less than 25% Increase,Less than -1.5,Not at Risk,Not at Risk
421010001021,36,42,43,52,60,74,75,57,50,46,42,292500,292500,335000,343750,345000,347000,325000,330000,347500,345000,340000,-0.229140,-0.303039,-0.081625,-0.131816,-0.249227,-0.505810,-1.157832,-1.432763,-1.623231,-2.299841,-2.411629,"$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,17.94871794871795,3.0303030303030303,-0.928692,-2.070701,-0.978866,Less than 25% Increase,Less than -1.5,Not at Risk,Not at Risk
421010001022,0,0,0,0,0,0,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
421010001023,26,28,29,39,49,41,30,29,26,27,25,236250,308035,350000,342000,374000,410000,409500,414800,415450,400000,400000,-0.792140,-0.440539,-0.252325,-0.405416,-0.346227,-0.413410,-0.934032,-1.214763,-1.510831,-2.253941,-2.341829,"$200,000 - $250,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$400,000 or Above","$400,000 or Above","$400,000 or Above","$400,000 or Above","$400,000 or Above","$400,000 or Above",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,69.31216931216932,-3.5679845708775315,-0.141892,-1.461801,-1.127066,50% - 100% Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010001024,6,12,15,37,40,19,13,11,17,20,13,361728.5,350000,390000,300000,300000,390000,492500,492500,525000,587500,615000,-0.050740,-0.194939,-0.022525,-0.646716,-0.767427,-0.524210,-0.482232,-0.799263,-0.939631,-1.292541,-1.315729,"$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$400,000 or Above","$400,000 or Above","$400,000 or Above","$400,000 or Above","$400,000 or Above",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,62.41462865104629,24.873096446700508,-0.431492,-1.241801,-0.516466,50% - 100% Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010001025,32,31,37,41,55,65,54,53,46,56,46,252750,248400,220000,253500,285000,285000,263580,255000,269700,293125,293125,-0.694640,-0.789639,-0.999125,-0.913816,-0.852827,-1.105810,-1.728132,-2.069463,-2.270731,-2.801941,-2.851929,"$250,000 - $400,000","$200,000 - $250,000","$200,000 - $250,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000","$250,000 - $400,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,15.974282888229476,14.950980392156863,-1.033492,-2.107301,-0.782466,Less than 25% Increase,Less than -1.5,Not at Risk,Not at Risk
